songfilename,SongName,Speed,Condition,fileblock,testdurationsec,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,subtract,49,48,1,7,6,3,0,0,0,6,0,17,17,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.21299329999965,132.21299329999965,132.21299329999965,132.21299329999965,132.21299329999965,0.009045899998454843,132.21299329999965,True,0.10111111111111111,-0.4,1,0,0,ansThree,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,add,26,25,51,55,57,61,0,0,0,6,0,18,18,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.01428739999756,134.01428739999756,134.01428739999756,134.01428739999756,134.01428739999756,0.008841299997584429,134.01428739999756,True,0.10111111111111111,-0.4,1,0,0,ansThree,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,multiply,18,10,180,190,184,182,0,0,0,6,0,19,19,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.87687879999794,137.87687879999794,137.87687879999794,137.87687879999794,137.87687879999794,0.009127699999226024,137.87687879999794,True,-0.28555555555555556,-0.3933333333333333,1,0,0,ansOne,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,multiply,2,5,10,11,18,12,0,0,0,6,0,20,20,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.66039869999804,139.66039869999804,139.66039869999804,139.66039869999804,139.66039869999804,0.009030199998960597,139.66039869999804,True,-0.08333333333333333,-0.3988888888888889,1,0,0,ansTwo,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,multiply,2,10,20,22,23,30,0,0,0,6,0,21,21,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.9760589999969,140.9760589999969,140.9760589999969,140.9760589999969,140.9760589999969,0.009313700000348035,140.9760589999969,True,-0.11333333333333333,-0.4011111111111111,1,0,0,ansTwo,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,multiply,10,2,20,21,22,28,0,0,0,6,0,22,22,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.38071579999814,142.38071579999814,142.38071579999814,142.38071579999814,142.38071579999814,0.013336800002434757,142.38071579999814,True,0.09888888888888889,-0.40444444444444444,1,0,0,ansThree,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,add,53,49,102,109,107,112,0,0,0,6,0,23,23,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.4753368999991,144.4753368999991,144.4753368999991,144.4753368999991,144.4753368999991,0.00973100000192062,144.4753368999991,True,-0.29,-0.40555555555555556,1,0,0,ansOne,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,add,49,28,77,79,78,81,0,0,0,6,0,24,24,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.48809609999807,150.48809609999807,150.48809609999807,150.48809609999807,150.48809609999807,0.008899299999029608,150.48809609999807,True,-0.09666666666666666,-0.40444444444444444,1,0,0,ansTwo,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\vocals\Younger Then (90) by Allebasi.wav,younger then,calm,vocals,2,90,multiply,10,18,180,186,185,187,0,1,1,3,0,0,0,104,,,,,,,,,,,,,,,,,,,,,,,,161.72129329999734,0.0837831000026199,-0.04555555555555556,-0.16777777777777778,1,0,0,166.38288569999713,166.38288569999713,166.38288569999713,166.38288569999713,166.38288569999713,0.03089170000021113,166.38288569999713,True,-0.1,-0.3977777777777778,1,0,0,ansTwo,156.64843660000042,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\vocals\Younger Then (90) by Allebasi.wav,younger then,calm,vocals,2,90,multiply,2,2,4,5,10,11,0,1,1,3,0,1,1,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.89380799999708,167.89380799999708,167.89380799999708,167.89380799999708,167.89380799999708,0.008183699999790406,167.89380799999708,True,0.09222222222222222,-0.4,1,0,0,ansThree,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\vocals\Younger Then (90) by Allebasi.wav,younger then,calm,vocals,2,90,subtract,49,48,1,7,6,3,0,1,1,3,0,2,2,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.34482279999793,169.34482279999793,169.34482279999793,169.34482279999793,169.34482279999793,0.009197400002449285,169.34482279999793,True,-0.30444444444444446,-0.3877777777777778,1,0,0,ansOne,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\vocals\Younger Then (90) by Allebasi.wav,younger then,calm,vocals,2,90,multiply,10,2,20,21,22,28,0,1,1,3,0,3,3,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.62607669999852,171.62607669999852,171.62607669999852,171.62607669999852,171.62607669999852,0.009026100000482984,171.62607669999852,True,0.10222222222222223,-0.39222222222222225,1,0,0,ansThree,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\vocals\Younger Then (90) by Allebasi.wav,younger then,calm,vocals,2,90,add,48,43,91,99,95,92,0,1,1,3,0,4,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.14352089999738,173.14352089999738,173.14352089999738,173.14352089999738,173.14352089999738,0.009495400001469534,173.14352089999738,True,0.08333333333333333,-0.4011111111111111,1,0,0,ansThree,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\vocals\Younger Then (90) by Allebasi.wav,younger then,calm,vocals,2,90,subtract,50,22,28,29,18,36,0,1,1,3,0,5,5,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.32474960000036,178.32474960000036,178.32474960000036,178.32474960000036,178.32474960000036,0.00883369999792194,178.32474960000036,True,-0.10666666666666667,-0.40444444444444444,1,0,0,ansTwo,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\vocals\Younger Then (90) by Allebasi.wav,younger then,calm,vocals,2,90,add,50,48,98,101,108,106,0,1,1,3,0,6,6,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.23734069999773,184.23734069999773,184.23734069999773,184.23734069999773,184.23734069999773,0.019429899999522604,184.23734069999773,True,-0.3055555555555556,-0.4,1,0,0,ansOne,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\vocals\Younger Then (90) by Allebasi.wav,younger then,calm,vocals,2,90,subtract,54,49,5,12,7,6,0,1,1,3,0,7,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.55404199999975,187.55404199999975,187.55404199999975,187.55404199999975,187.55404199999975,0.0087268999996013,187.55404199999975,True,-0.10111111111111111,-0.39666666666666667,1,0,0,ansTwo,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\vocals\Younger Then (90) by Allebasi.wav,younger then,calm,vocals,2,90,add,28,14,42,47,43,46,0,1,1,3,0,8,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.50258869999743,192.50258869999743,192.50258869999743,192.50258869999743,192.50258869999743,0.010208899999270216,192.50258869999743,True,0.08777777777777777,-0.39444444444444443,1,0,0,ansThree,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\vocals\Younger Then (90) by Allebasi.wav,younger then,calm,vocals,2,90,multiply,2,10,20,27,29,27,0,1,1,3,0,9,9,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.1968734999973,199.1968734999973,199.1968734999973,199.1968734999973,199.1968734999973,0.008754900001804344,199.1968734999973,True,-0.2966666666666667,-0.3977777777777778,1,0,0,ansOne,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\vocals\Younger Then (90) by Allebasi.wav,younger then,calm,vocals,2,90,subtract,50,25,25,31,32,29,0,1,1,3,0,10,10,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.9133855,200.9133855,200.9133855,200.9133855,200.9133855,0.00935590000153752,200.9133855,True,-0.29777777777777775,-0.39666666666666667,1,0,0,ansOne,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\vocals\Younger Then (90) by Allebasi.wav,younger then,calm,vocals,2,90,multiply,10,18,180,188,190,194,0,1,1,3,0,11,11,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.4089215999993,203.4089215999993,203.4089215999993,203.4089215999993,203.4089215999993,0.018053299998427974,203.4089215999993,True,0.10111111111111111,-0.40444444444444444,1,0,0,ansThree,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\vocals\Younger Then (90) by Allebasi.wav,younger then,calm,vocals,2,90,add,54,49,103,105,109,107,0,1,1,3,0,12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.7447355999975,206.7447355999975,206.7447355999975,206.7447355999975,206.7447355999975,0.009134500000072876,206.7447355999975,True,-0.08,-0.39555555555555555,1,0,0,ansTwo,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\vocals\Younger Then (90) by Allebasi.wav,younger then,calm,vocals,2,90,multiply,10,18,180,183,184,187,0,1,1,3,0,13,13,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.63972869999998,214.63972869999998,214.63972869999998,214.63972869999998,214.63972869999998,0.008751099998335121,214.63972869999998,True,-0.09777777777777778,-0.39666666666666667,1,0,0,ansTwo,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\vocals\Younger Then (90) by Allebasi.wav,younger then,calm,vocals,2,90,add,50,25,75,80,77,85,0,1,1,3,0,14,14,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.43898549999722,216.43898549999722,216.43898549999722,216.43898549999722,216.43898549999722,0.00951070000155596,216.43898549999722,True,-0.10111111111111111,-0.4022222222222222,1,0,0,ansTwo,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\vocals\Younger Then (90) by Allebasi.wav,younger then,calm,vocals,2,90,subtract,22,22,0,5,4,5,0,1,1,3,0,15,15,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.0052238999997,219.0052238999997,219.0052238999997,219.0052238999997,219.0052238999997,0.008577399999921909,219.0052238999997,True,-0.3055555555555556,-0.39111111111111113,1,0,0,ansOne,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\vocals\Younger Then (90) by Allebasi.wav,younger then,calm,vocals,2,90,add,52,50,102,107,112,107,0,1,1,3,0,16,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.75340739999956,220.75340739999956,220.75340739999956,220.75340739999956,220.75340739999956,0.009180999997624895,220.75340739999956,True,-0.3088888888888889,-0.39666666666666667,1,0,0,ansOne,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
