songfilename,SongName,Speed,Condition,fileblock,testdurationsec,songCondFile,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,text.stopped,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,multiply,19,10,190,198,200,195,0,0,0,3,0,17,17,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.2916945,67.2916945,67.2916945,67.2916945,67.2916945,0.0043381,67.2916945,TRUE,-0.1,-0.392592593,1,0,0,ansTwo,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,multiply,11,5,55,61,63,61,0,0,0,3,0,18,18,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.1250442,69.1250442,69.1250442,69.1250442,69.1250442,0.0040467,69.1250442,TRUE,-0.082407407,-0.391666667,1,0,0,ansTwo,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,add,57,54,111,115,118,112,0,0,0,3,0,19,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3750763,70.3750763,70.3750763,70.3750763,70.3750763,0.0042885,70.3750763,TRUE,-0.284259259,-0.401851852,1,0,0,ansOne,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,multiply,6,10,60,68,63,67,0,0,0,3,0,20,20,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.7584419,72.7584419,72.7584419,72.7584419,72.7584419,0.0040978,72.7584419,TRUE,-0.301851852,-0.397222222,1,0,0,ansOne,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,multiply,10,19,190,195,191,195,0,0,0,3,0,21,21,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0251141,74.0251141,74.0251141,74.0251141,74.0251141,0.0043121,74.0251141,TRUE,-0.286111111,-0.40462963,1,0,0,ansOne,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,subtract,49,44,5,6,13,11,0,0,0,3,0,22,22,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.4584119,75.4584119,75.4584119,75.4584119,75.4584119,0.0040851,75.4584119,TRUE,-0.294444444,-0.412962963,1,0,0,ansOne,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,multiply,10,6,60,66,63,64,0,0,0,3,0,23,23,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.2584228,77.2584228,77.2584228,77.2584228,77.2584228,0.0042557,77.2584228,TRUE,-0.111111111,-0.401851852,1,0,0,ansTwo,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,subtract,54,13,41,49,42,45,0,0,0,3,0,24,24,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.741779,78.741779,78.741779,78.741779,78.741779,0.0040695,78.741779,TRUE,-0.109259259,-0.4,1,0,0,ansTwo,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,multiply,11,10,110,120,118,116,0,0,0,3,0,25,25,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.6418561,82.6418561,82.6418561,82.6418561,82.6418561,0.0043317,82.6418561,TRUE,-0.284259259,-0.398148148,1,0,0,ansOne,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,subtract,58,11,47,50,49,37,0,0,0,3,0,26,26,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.9918055,83.9918055,83.9918055,83.9918055,83.9918055,0.0043699,83.9918055,FALSE,0.301851852,-0.406481481,1,0,0,ansFour,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
