songfilename,SongName,Speed,Condition,fileblock,testdurationsec,songCondFile,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,text.stopped,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate
music\active\instrumentals\Like This (90) (Instrumental) by MUNNYCAT.wav,like this,active,instrumental,1,90,B,subtract,19,19,0,2,1,8,0,1,1,2,0,2,2,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.3568045,151.3568045,151.3568045,151.3568045,151.3568045,0.0060975,151.3568045,TRUE,-0.100925926,-0.40462963,1,0,0,ansTwo,,,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
music\active\instrumentals\Like This (90) (Instrumental) by MUNNYCAT.wav,like this,active,instrumental,1,90,B,multiply,10,4,40,46,42,45,0,1,1,2,0,3,3,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.9068761,154.9068761,154.9068761,154.9068761,154.9068761,0.0063996,154.9068761,TRUE,0.10462963,-0.40462963,1,0,0,ansThree,,,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
music\active\instrumentals\Like This (90) (Instrumental) by MUNNYCAT.wav,like this,active,instrumental,1,90,B,multiply,5,15,75,76,78,77,0,1,1,2,0,4,4,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0069069,157.0069069,157.0069069,157.0069069,157.0069069,0.0061837,157.0069069,TRUE,-0.099074074,-0.406481481,1,0,0,ansTwo,,,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
music\active\instrumentals\Like This (90) (Instrumental) by MUNNYCAT.wav,like this,active,instrumental,1,90,B,add,20,16,36,42,44,43,0,1,1,2,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.2572363,170.2572363,170.2572363,170.2572363,170.2572363,0.0064727,170.2572363,TRUE,-0.113888889,-0.396296296,1,0,0,ansTwo,,,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
music\active\instrumentals\Like This (90) (Instrumental) by MUNNYCAT.wav,like this,active,instrumental,1,90,B,add,19,19,38,43,48,42,0,1,1,2,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.9906125,173.9906125,173.9906125,173.9906125,173.9906125,0.0062411,173.9906125,TRUE,0.098148148,-0.40462963,1,0,0,ansThree,,,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
music\active\instrumentals\Like This (90) (Instrumental) by MUNNYCAT.wav,like this,active,instrumental,1,90,B,multiply,15,10,150,153,155,159,0,1,1,2,0,7,7,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.3907691,181.3907691,181.3907691,181.3907691,181.3907691,0.0065979,181.3907691,TRUE,0.092592593,-0.4,1,0,0,ansThree,,,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
music\active\instrumentals\Like This (90) (Instrumental) by MUNNYCAT.wav,like this,active,instrumental,1,90,B,subtract,37,19,18,8,26,22,0,1,1,2,0,8,8,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.4241333,183.4241333,183.4241333,183.4241333,183.4241333,0.0062077,183.4241333,TRUE,-0.1,-0.399074074,1,0,0,ansTwo,,,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
music\active\instrumentals\Like This (90) (Instrumental) by MUNNYCAT.wav,like this,active,instrumental,1,90,B,subtract,16,15,1,7,3,7,0,1,1,2,0,9,9,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.9414374,213.9414374,213.9414374,213.9414374,213.9414374,0.0062876,213.9414374,TRUE,-0.098148148,-0.393518519,1,0,0,ansTwo,,,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
music\active\instrumentals\Like This (90) (Instrumental) by MUNNYCAT.wav,like this,active,instrumental,1,90,B,subtract,40,37,3,6,7,9,0,1,1,2,0,10,10,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.3081886,217.3081886,217.3081886,217.3081886,217.3081886,0.0060365,217.3081886,TRUE,-0.296296296,-0.39537037,1,0,0,ansOne,,,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
music\active\instrumentals\Like This (90) (Instrumental) by MUNNYCAT.wav,like this,active,instrumental,1,90,B,multiply,17,10,170,175,171,174,0,1,1,2,0,11,11,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.6583203,221.6583203,221.6583203,221.6583203,221.6583203,0.0065614,221.6583203,TRUE,-0.311111111,-0.405555556,1,0,0,ansOne,,,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
