songfilename,SongName,Speed,Condition,fileblock,testdurationsec,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,text.stopped,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,multiply,10,11,110,115,118,115,0,0,0,1,0,17,17,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.11995209997986,111.11995209997986,111.11995209997986,111.11995209997986,111.11995209997986,0.011378400027751923,111.11995209997986,True,-0.2953703703703704,-0.39444444444444443,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,multiply,14,10,140,144,148,141,0,0,0,1,0,18,18,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.21881800005212,114.21881800005212,114.21881800005212,114.21881800005212,114.21881800005212,0.010422799969092011,114.21881800005212,True,-0.10925925925925926,-0.3972222222222222,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,add,44,11,55,57,61,56,0,0,0,1,0,19,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.85150500002783,115.85150500002783,115.85150500002783,115.85150500002783,115.85150500002783,0.01012230000924319,115.85150500002783,False,0.2935185185185185,-0.3972222222222222,1,0,0,ansFour,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,multiply,11,5,55,61,63,61,0,0,0,1,0,20,20,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.46699250000529,123.46699250000529,123.46699250000529,123.46699250000529,123.46699250000529,0.009847100009210408,123.46699250000529,True,0.1,-0.3925925925925926,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,multiply,5,11,55,56,63,57,0,0,0,1,0,21,21,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.39978630002588,125.39978630002588,125.39978630002588,125.39978630002588,125.39978630002588,0.009358400013297796,125.39978630002588,True,0.10740740740740741,-0.39444444444444443,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,multiply,5,19,95,102,96,100,0,0,0,1,0,22,22,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.66837590001523,126.66837590001523,126.66837590001523,126.66837590001523,126.66837590001523,0.013205000082962215,126.66837590001523,True,0.10185185185185185,-0.40185185185185185,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,add,58,54,112,117,118,114,0,0,0,1,0,23,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.71668960002717,129.71668960002717,129.71668960002717,129.71668960002717,129.71668960002717,0.009789299918338656,129.71668960002717,True,-0.29814814814814816,-0.4111111111111111,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\instrumentals\Soda Pop (90) (Instrumental) by Stony Pony.wav,soda pop,active,instrumental,2,90,add,58,54,112,117,118,114,0,1,1,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,141.28894830006175,0.03561090002767742,0.13333333333333333,-0.32037037037037036,1,0,0,149.20604720001575,149.20604720001575,149.20604720001575,149.20604720001575,149.20604720001575,0.027863599942065775,149.20604720001575,True,0.11666666666666667,-0.40555555555555556,1,0,0,ansThree,136.26052210002672,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\instrumentals\Soda Pop (90) (Instrumental) by Stony Pony.wav,soda pop,active,instrumental,2,90,add,57,54,111,115,118,112,0,1,1,0,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.22872380004264,159.22872380004264,159.22872380004264,159.22872380004264,159.22872380004264,0.00956380006391555,159.22872380004264,True,0.09537037037037037,-0.4101851851851852,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\instrumentals\Soda Pop (90) (Instrumental) by Stony Pony.wav,soda pop,active,instrumental,2,90,multiply,6,5,30,40,36,38,0,1,1,0,0,2,2,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.27887430007104,166.27887430007104,166.27887430007104,166.27887430007104,166.27887430007104,0.010480899945832789,166.27887430007104,True,0.10092592592592593,-0.3925925925925926,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
