songfilename,SongName,Speed,Condition,fileblock,testdurationsec,songCondFile,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,text.stopped,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate,
music\silence.wav,silent,silent,silent,1,90,A,add,52,24,76,78,83,78,0,0,0,9,0,17,17,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.73336850001942,85.73336850001942,85.73336850001942,85.73336850001942,85.73336850001942,0.007020100019872189,85.73336850001942,True,0.09537037037037037,-0.4064814814814815,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,subtract,20,18,2,9,7,8,0,0,0,9,0,18,18,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.61699490004685,90.61699490004685,90.61699490004685,90.61699490004685,90.61699490004685,0.006815800094045699,90.61699490004685,True,0.09166666666666666,-0.4083333333333333,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,add,29,20,49,50,53,50,0,0,0,9,0,19,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.61750809999648,92.61750809999648,92.61750809999648,92.61750809999648,92.61750809999648,0.007279400015249848,92.61750809999648,True,-0.09074074074074075,-0.4083333333333333,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,multiply,16,5,80,82,84,82,0,0,0,9,0,20,20,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.81660759996157,95.81660759996157,95.81660759996157,95.81660759996157,95.81660759996157,0.006420399993658066,95.81660759996157,True,0.08796296296296297,-0.4027777777777778,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,subtract,40,35,5,10,9,13,0,0,0,9,0,21,21,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.71657649998087,97.71657649998087,97.71657649998087,97.71657649998087,97.71657649998087,0.006730300025083125,97.71657649998087,True,0.09074074074074075,-0.39444444444444443,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,add,45,18,63,64,69,66,0,0,0,9,0,22,22,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.14989679993596,100.14989679993596,100.14989679993596,100.14989679993596,100.14989679993596,0.006310399970971048,100.14989679993596,True,-0.09814814814814815,-0.4046296296296296,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,multiply,5,16,80,84,88,85,0,0,0,9,0,23,23,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.56649280001875,106.56649280001875,106.56649280001875,106.56649280001875,106.56649280001875,0.0075307999504730105,106.56649280001875,True,0.1111111111111111,-0.40185185185185185,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,add,35,29,64,67,66,68,0,0,0,9,0,24,24,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.73308879998513,109.73308879998513,109.73308879998513,109.73308879998513,109.73308879998513,0.00655330007430166,109.73308879998513,True,-0.2953703703703704,-0.3990740740740741,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\active\vocals\Soda Pop (feat. Hot Air Balloon) (90) by Stony Pony.wav,soda pop,active,vocals,1,90,A,multiply,10,5,50,53,52,56,0,1,1,5,0,0,0,96,,,,,,,,,,,,,,,,,,,,,,,,121.14962989999913,0.004486700054258108,-0.18703703703703703,-0.287962962962963,1,0,0,126.3495910000056,126.3495910000056,126.3495910000056,126.3495910000056,126.3495910000056,0.039215700002387166,126.3495910000056,True,0.1037037037037037,-0.3962962962962963,1,0,0,ansThree,116.14970029995311,121.14962989999913,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\active\vocals\Soda Pop (feat. Hot Air Balloon) (90) by Stony Pony.wav,soda pop,active,vocals,1,90,A,multiply,10,16,160,167,162,164,0,1,1,5,0,1,1,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.4995528999716,128.4995528999716,128.4995528999716,128.4995528999716,128.4995528999716,0.0068752000806853175,128.4995528999716,True,-0.30648148148148147,-0.4074074074074074,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
